CustomerID_flag,Total_Invoices,Total_Spent,Last_Purchase_Date,InvoiceNo,Reference_Date,Order,Recency,R_Score,Frequency,F_Score,Monetary,M_Score,Segment,RFM
Customers,1,15,01-12-2010 14:05,536541,10-12-2011 12:50,1,374,1,1,1,15,1,Lost Customers,111
Customers,1,15,02-12-2010 15:08,536779,10-12-2011 12:50,1,373,1,1,1,15,1,Lost Customers,111
Customers,1,15,05-12-2010 12:02,537090,10-12-2011 12:50,1,370,1,1,1,15,1,Lost Customers,111
Customers,1,15,09-12-2010 16:11,538147,10-12-2011 12:50,1,366,1,1,1,15,1,Lost Customers,111
Customers,1,15,12-12-2010 11:13,C538373,10-12-2011 12:50,1,363,1,1,1,15,1,Lost Customers,111
Customers,1,15,14-12-2010 09:39,538685,10-12-2011 12:50,1,361,1,1,1,15,1,Lost Customers,111
Customers,1,15,14-12-2010 11:11,C538720,10-12-2011 12:50,1,361,1,1,1,15,1,Lost Customers,111
Customers,1,15,16-12-2010 17:51,539310,10-12-2011 12:50,1,359,1,1,1,15,1,Lost Customers,111
Customers,1,15,18-01-2011 15:58,541505,10-12-2011 12:50,1,326,1,1,1,15,1,Lost Customers,111
Customers,1,15,18-01-2011 16:52,541513,10-12-2011 12:50,1,326,1,1,1,15,1,Lost Customers,111
Customers,1,15,24-01-2011 15:47,541983,10-12-2011 12:50,1,320,1,1,1,15,1,Lost Customers,111
Customers,1,15,02-02-2011 14:17,543017,10-12-2011 12:50,1,311,1,1,1,15,1,Lost Customers,111
Customers,1,15,03-02-2011 15:28,543134,10-12-2011 12:50,1,310,1,1,1,15,1,Lost Customers,111
Customers,1,15,08-02-2011 15:30,543477,10-12-2011 12:50,1,305,1,1,1,15,1,Lost Customers,111
Customers,1,15,17-02-2011 17:05,544331,10-12-2011 12:50,1,296,1,1,1,15,1,Lost Customers,111
Customers,1,15,18-02-2011 13:26,544407,10-12-2011 12:50,1,295,1,1,1,15,1,Lost Customers,111
Customers,1,15,22-02-2011 11:04,C544635,10-12-2011 12:50,1,291,1,1,1,15,1,Lost Customers,111
Customers,1,15,02-03-2011 15:58,C545439,10-12-2011 12:50,1,283,1,1,1,15,1,Lost Customers,111
Customers,1,15,06-03-2011 10:26,545675,10-12-2011 12:50,1,279,1,1,1,15,1,Lost Customers,111
Customers,1,15,08-03-2011 17:28,C546022,10-12-2011 12:50,2,277,1,2,1,15,1,Lost Customers,111
Customers,1,15,15-03-2011 10:24,C546559,10-12-2011 12:50,1,270,1,1,1,15,1,Lost Customers,111
Customers,1,15,16-03-2011 12:44,546750,10-12-2011 12:50,1,269,1,1,1,15,1,Lost Customers,111
Customers,1,15,21-03-2011 14:25,547207,10-12-2011 12:50,1,264,1,1,1,15,1,Lost Customers,111
Customers,1,15,24-03-2011 11:19,C547594,10-12-2011 12:50,1,261,1,1,1,15,1,Lost Customers,111
Customers,1,15,07-04-2011 10:59,C549230,10-12-2011 12:50,1,247,1,1,1,15,1,Lost Customers,111
Customers,1,15,11-04-2011 14:56,549717,10-12-2011 12:50,1,243,1,1,1,15,1,Lost Customers,111
Customers,1,15,27-04-2011 14:48,551299,10-12-2011 12:50,1,227,1,1,1,15,1,Lost Customers,111
